S/N,Coursetitle,Course Code,program,Level,Unit,Semester,Session,venue 
1056,Experimental Physics I,PHY 107,Chemistry Education,100,1,First,2023/2024,LCR2
1057,General Chemistry Practical I,CHM 107,Chemistry Education,100,1,First,2023/2024,LCR2
1058,Elementary Mathematics I,MTH 101,Chemistry Education,100,2,First,2023/2024,LCR2
1059,TEACHING PRACTICE II,EDU 400,Chemistry Education,400,3,First,2023/2024,LCR2
1060,GUIDANCE AND COUNSELLING,EDU 401,Chemistry Education,400,2,First,2023/2024,LCR2
1061,SUBJECT TEACHING METHOD0LOGY IV (CHEMISTRY),EDU 417,Chemistry Education,400,2,First,2023/2024,LCR2
1062,Science Technology and Society,SED 413,Chemistry Education,400,2,First,2023/2024,LCR2
1063,COORDINATION CHEMISTRY,CHM 431,Chemistry Education,400,2,First,2023/2024,LCR2
1064,RADIOCHEMISTRY AND NUCLEAR CHEMISTRY,CHM 441,Chemistry Education,400,2,First,2023/2024,LCR2
1065,QUANTUM CHEMISTRY AND STATISTICAL MECHANICS,CHM 445,Chemistry Education,400,2,First,2023/2024,LCR2
1066,SEPARATION METHODS,CHM 451,Chemistry Education,400,2,First,2023/2024,LCR2
1067,PROCESS CHEMISTRY I,CHM 461,Chemistry Education,400,2,First,2023/2024,LCR2
1068,"CHEMISTRY OF SOAPS, DETERGENTS, PAINTS AND ADHESIVES",CHM 465,Chemistry Education,400,2,First,2023/2024,LCR2
1075,Elementary Mathematics I,MTH 101,Physics Education,100,2,First,2023/2024,LCR2
1076,Communication In English,GST 111,Physics Education,100,2,First,2023/2024,LCR2
1077,Ethics,VUA-ETH 171,Physics Education,100,1,First,2023/2024,LCR2
1078,Introduction to Teaching and Foundations of Education,EDU 111,Physics Education,100,2,First,2023/2024,LCR2
1079,ELEMENTARY MATHEMATICS 1,MTH 101,Physics Education,100,2,First,2023/2024,LCR2
1080,GENERAL PHYSICS I,PHY 101,Physics Education,100,2,First,2023/2024,LCR2
1081,EXPERIMENTAL PHYSICS 11,PHY 108,Physics Education,100,1,First,2023/2024,LCR2
1082,COMMUNICATION IN ENGLISH 11,GST 112,Physics Education,100,2,First,2023/2024,LCR2
1083,Community Service,VUA-CMS 142,Physics Education,100,2,First,2023/2024,LCR2
1084,GENERAL MATHEMATICS II,MTH 102,Physics Education,100,2,First,2023/2024,LCR2
1090,TEACHING PRACTICE II,EDU 400,Physics Education,400,3,First,2023/2024,LCR2
1091,GUIDANCE AND COUNSELLING,EDU 401,Physics Education,400,2,First,2023/2024,LCR2
1092,SUBJECT TEACHING METHOD0LOGY IV (PHYSICS),EDU 415,Physics Education,400,2,First,2023/2024,LCR2
1093,Science Technology and Society,SED 413,Physics Education,400,2,First,2023/2024,LCR2
1094,QUANTUM MECHANICS I,PHY 441,Physics Education,400,3,First,2023/2024,LCR2
1095,STATISTICAL PHYSICS,PHY 445,Physics Education,400,3,First,2023/2024,LCR2
1096,MATHEMATICAL PHYSICS,PHY 443,Physics Education,400,3,First,2023/2024,LCR2
1097,EXPERIMENTAL PHYSICS,PHY 407,Physics Education,400,1,First,2023/2024,LCR2
1098,NUCLEAR PHYSICS,PHY 453,Physics Education,400,3,First,2023/2024,LCR2
1104,Communication in English,GST 111,Educational Management,100,2,First,2023/2024,LCR2
1105,Ethics,VUA-ETH 171,Educational Management,100,1,First,2023/2024,LCR2
1106,Introduction to Teaching and Foundations of Education,EDU 101,Educational Management,100,2,First,2023/2024,LCR2
1107,History of Educational Management in Nigeria,EDM 101,Educational Management,100,2,First,2023/2024,LCR2
1108,Introduction to Administrative and Management Theories,EDM 103,Educational Management,100,2,First,2023/2024,LCR2
1109,Careers in Educational Management,VUA-EDM 105,Educational Management,100,2,First,2023/2024,LCR2
1110,Catholic Schools Management,VUA-EDM 107,Educational Management,100,2,First,2023/2024,LCR2
1111,Skill Development I,VUA-ENT 127,Educational Management,100,2,First,2023/2024,LCR2
1112,Introduction to Entrepreneurship and Venture Creation,ENT 121,Educational Management,100,2,First,2023/2024,LCR2
1113,Sources of Christianity,REL 121,Educational Management,100,2,First,2023/2024,LCR2
1114,Introduction to Social Studies,ESS 100,Educational Management,100,2,First,2023/2024,LCR2
1115,Socio-Economic Environment in Nigeria,ESS 115,Educational Management,100,2,First,2023/2024,LCR2
1116,Introduction to Educational Policies in Nigeria,EDM 103,Educational Management,100,2,First,2023/2024,LCR2
1117,Foundations of Education I (History and Sociology of Education),EDU 121,Educational Management,100,2,First,2023/2024,LCR2
1118,History and Philosophy Of Science,GST 115,Educational Management,100,2,First,2023/2024,LCR2
1119,Introduction to Language 1,ELS 101,Educational Management,100,2,First,2023/2024,LCR2
1120,General Chemistry I,CHM 101,Educational Management,100,3,First,2023/2024,LCR2
1121,General Chemistry Practical I,CHM 103,Educational Management,100,1,First,2023/2024,LCR2
1122,Practical English Grammar 1,ELS 131,Educational Management,100,2,First,2023/2024,LCR2
1123,Introduction to Entrepreneurship & Venture Creation,ENT 121,Educational Management,100,3,First,2023/2024,LCR2
1124,"Use of Library, Study Skills and ICT",GST 121,Educational Management,100,2,First,2023/2024,LCR2
1125,A Survey of English Language,ENG 101,Educational Management,100,2,First,2023/2024,LCR2
1126,Spoken English,ENG 103,Educational Management,100,2,First,2023/2024,LCR2
1154,Introduction To Entrepreneurial Skills,GST 223,Educational Management,200,2,First,2023/2024,LCR2
1155,Peace Studies and Conflict Resolution,GST 221,Educational Management,200,2,First,2023/2024,LCR2
1156,Basic Spiritual Theology,GST 211,Educational Management,200,1,First,2023/2024,LCR2
1157,Educational Psychology II (Human Growth &amp; Development),EDU 201,Educational Management,200,2,First,2023/2024,LCR2
1158,Curriculum Theory and Instruction,EDU 203,Educational Management,200,2,First,2023/2024,LCR2
1159,Introduction to Educational Management,EDM 201,Educational Management,200,2,First,2023/2024,LCR2
1160,Management of Primary and Secondary Education,EDM 205,Educational Management,200,2,First,2023/2024,LCR2
1161,Introduction to Phonetics and Phonology,ELS 211,Educational Management,200,2,First,2023/2024,LCR2
1162,Advanced English Composition 1,ELS 271,Educational Management,200,2,First,2023/2024,LCR2
1163,History of English Language,ELS 221,Educational Management,200,2,First,2023/2024,LCR2
1164,Nigerian Socio- Political Institutions,SSE 221,Educational Management,200,3,First,2023/2024,LCR2
1165,Problems of Ethics and Value Education,SSE 211,Educational Management,200,3,First,2023/2024,LCR2
1166,Introduction to the New Testament,REL 221,Educational Management,200,2,First,2023/2024,LCR2
1167,Biblical Hebrew I,REL 271,Educational Management,200,2,First,2023/2024,LCR2
1168,History of Christianity in West Africa,REL 281,Educational Management,200,2,First,2023/2024,LCR2
1169,Introduction to Religious Studies,REL 111,Educational Management,200,2,First,2023/2024,LCR2
1170,Sources of Christianity,REL 121,Educational Management,200,2,First,2023/2024,LCR2
1171,Comparative Religion,REL 241,Educational Management,200,2,First,2023/2024,LCR2
1194,Entrepreneurship Advanced Skills,GST 311,Educational Management,300,2,First,2023/2024,LCR2
1195,Teaching Practice I/ Internship/ Practicum I,EDU 300,Educational Management,300,3,First,2023/2024,LCR2
1196,Test and Measurements,EDU 301,Educational Management,300,2,First,2023/2024,LCR2
1197,Subject Methodology II,EDU 303,Educational Management,300,2,First,2023/2024,LCR2
1198,Subject Teaching Methodology II,EDU 307,Educational Management,300,2,First,2023/2024,LCR2
1199,Subject Teaching Methodology II (Social Studies),EDU 311,Educational Management,300,2,First,2023/2024,LCR2
1200,Subject Teaching Methodology 11 ( Science),EDU 317,Educational Management,300,2,First,2023/2024,LCR2
1201,Teaching Methodology 11 ( Arts and Religion),EDU 319,Educational Management,300,2,First,2023/2024,LCR2
1202,Teaching Methodology 11 ( Arts and Religion),EDU 319,Educational Management,300,2,First,2023/2024,LCR2
1203,Educational Technology,EDU 305,Educational Management,300,2,First,2023/2024,LCR2
1204,Problems and Issues in Planning Nigerian Education,EDM 301,Educational Management,300,2,First,2023/2024,LCR2
1205,Leadership in Formal Organization,EDM 303,Educational Management,300,2,First,2023/2024,LCR2
1206,The Application of Educational Laws to School Management,EDM 305,Educational Management,300,2,First,2023/2024,LCR2
1207,Educational Supervision in Nigeria,EDM 307,Educational Management,300,2,First,2023/2024,LCR2
1208,Semantics Of English,ELS 301,Educational Management,300,2,First,2023/2024,LCR2
1209,Discourse Analysis,ELS 341,Educational Management,300,2,First,2023/2024,LCR2
1210,Nationalism and Patriotism in Nigeria,SSE 321,Educational Management,300,3,First,2023/2024,LCR2
1211,Finance and Financial Institution in Nigeria.,SSE 313,Educational Management,300,2,First,2023/2024,LCR2
1212,New Testament Studies II,REL 311,Educational Management,300,2,First,2023/2024,LCR2
1213,History of the Reformation,REL 331,Educational Management,300,1,First,2023/2024,LCR2
1214,Old Testament Studies I,REL 371,Educational Management,300,2,First,2023/2024,LCR2
1215,Food Microbiology,MCB 301,Educational Management,300,2,First,2023/2024,LCR2
1231,Teaching Practice/Practicum II,EDU 400,Educational Management,400,3,First,2023/2024,LCR2
1232,Guidance and Counselling,EDU 401,Educational Management,400,2,First,2023/2024,LCR2
1233,Demographic Aspect of Educational Management,EDM 401,Educational Management,400,2,First,2023/2024,LCR2
1234,Principalship,EDM 411,Educational Management,400,2,First,2023/2024,LCR2
1235,Educational Cost and Financial Analysis,EDM 403,Educational Management,400,2,First,2023/2024,LCR2
1236,Personnel Management and Evaluation,EDM 405,Educational Management,400,2,First,2023/2024,LCR2
1237,Office Management and records Keeping,EDM 425,Educational Management,400,2,First,2023/2024,LCR2
1238,English for Specific Purpose,ELS 421,Educational Management,400,2,First,2023/2024,LCR2
1239,New Trends in English Syntax,ELS 411,Educational Management,400,2,First,2023/2024,LCR2
1240,Social Issues as Emerging Priorities of Social Studies Education,SSE 413,Educational Management,400,3,First,2023/2024,LCR2
1241,Social life &amp; Party politics in Nigeria,SSE 421,Educational Management,400,3,First,2023/2024,LCR2
1242,Comparative Vertebrate Anatomy/Zoology,ZOO 411,Educational Management,400,3,First,2023/2024,LCR2
1243,Population Ecology,BIO 451,Educational Management,400,3,First,2023/2024,LCR2
1244,The Writing of the Old and New Testaments,REL 411,Educational Management,400,2,First,2023/2024,LCR2
1245,Nigerian Church History,REL 421,Educational Management,400,2,First,2023/2024,LCR2
1246,Old Testament Studies II,REL 441,Educational Management,400,2,First,2023/2024,LCR2
1247,Psycholinguuistics,ELS 431,Educational Management,400,2,First,2023/2024,LCR2
1248,Teaching English as a Second Language,EEN 401,Educational Management,400,2,First,2023/2024,LCR2
1249,English for Specific Purposes,ELS 421,Educational Management,400,2,First,2023/2024,LCR2
1250,Psycholinguistics,ELS 431,Educational Management,400,2,First,2023/2024,LCR2
1251,Teaching English as a Second Language,EEN 401,Educational Management,400,2,First,2023/2024,LCR2
1252,Comparative Vertebrate Anatomy/Zoology,ZOO 411,Educational Management,400,3,First,2023/2024,LCR2
1270,Communication In English,GST 111,Business Administration,100,2,First,2023/2024,LCR2
1271,Principles of Management,AMS 101,Business Administration,100,2,First,2023/2024,LCR2
1272,Introduction to Computers,AMS 103,Business Administration,100,2,First,2023/2024,LCR2
1273,Ethics,VUA-ETH 171,Business Administration,100,1,First,2023/2024,LCR2
1274,Introduction to Business 1,BUA 101,Business Administration,100,2,First,2023/2024,LCR2
1275,Public Speaking for Business Management,VUA-BUA 113,Business Administration,100,2,First,2023/2024,LCR2
1276,Spirituality in Business Management,VUA-BUA 115,Business Administration,100,2,First,2023/2024,LCR2
1277,Total Management Training for Small Business,VUA-BUA 117,Business Administration,100,2,First,2023/2024,LCR2
1278,Post Covid-19 Business Management,VUA-BUA 119,Business Administration,100,2,First,2023/2024,LCR2
1279,Introduction to Computer Science,CSC 101,Business Administration,100,3,First,2023/2024,LCR2
1280,Introduction to Accounting,ACC 101,Business Administration,100,3,First,2023/2024,LCR2
1281,Introduction to Financial Accounting and Reporting I,ACC 101,Business Administration,100,3,First,2023/2024,LCR2
1289,Business Maths,BUS 231,Business Administration,200,3,First,2023/2024,LCR2
1290,Financial Accounting &amp; Reporting I,ACC 201,Business Administration,200,3,First,2023/2024,LCR2
1291,Introductory Micro-Economic Theory I,ECO 201,Business Administration,200,2,First,2023/2024,LCR2
1292,e-Business,BUS 281,Business Administration,200,3,First,2023/2024,LCR2
1293,Introductory Macro-Economic Theory I,ECO 211,Business Administration,200,2,First,2023/2024,LCR2
1294,Peace Studies and Conflict Resolution,GST 221,Business Administration,200,2,First,2023/2024,LCR2
1295,Introduction To Entrepreneurial Skills,GST 223,Business Administration,200,2,First,2023/2024,LCR2
1296,Basic Spiritual Theology,GST 211,Business Administration,200,0,First,2023/2024,LCR2
1297,BUSINESS STATISTICS I,BUS 201,Business Administration,200,3,First,2023/2024,LCR2
1307,International Economics I,ECO 361,Business Administration,300,2,First,2023/2024,LCR2
1308,Elements of Management,BUS 311,Business Administration,300,3,First,2023/2024,LCR2
1309,Human Resources Management,BUS 321,Business Administration,300,3,First,2023/2024,LCR2
1310,Corporate Planning,BUS 341,Business Administration,300,3,First,2023/2024,LCR2
1311,Labour Economics,ECO 391,Business Administration,300,3,First,2023/2024,LCR2
1312,Entrepreneurship Advanced Skills,GST 311,Business Administration,300,3,First,2023/2024,LCR2
1313,Small Business Management,BUS 351,Business Administration,300,3,First,2023/2024,LCR2
1314,Company Law,LAW 311,Business Administration,300,2,First,2023/2024,LCR2
1322,Business Policy & Strategy I,BUS 401,Business Administration,400,3,First,2023/2024,LCR2
1323,International Business,BUS 411,Business Administration,400,3,First,2023/2024,LCR2
1324,Public Enterprises Management,PAD 401,Business Administration,400,3,First,2023/2024,LCR2
1325,Project Management and Evaluation,BUS 471,Business Administration,400,3,First,2023/2024,LCR2
1326,Seminar in Business Administration,BUS 421,Business Administration,400,3,First,2023/2024,LCR2
1327,Financial Management,BAF 411,Business Administration,400,3,First,2023/2024,LCR2
1334,Communication In English,GST 111,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1335,Principles of Management,AMS 101,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1336,Introduction to Computers,AMS 103,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1337,Principles of Economics,ECO 101,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1338,Introduction to Entrepreneurship and Venture Creation,ENT 121,Entrepreneurial Studies,100,3,First,2023/2024,LCR2
1339,Business Statistics,ENT 125,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1340,Ethics,VUA-ETH 171,Entrepreneurial Studies,100,1,First,2023/2024,LCR2
1341,Skill Development I,VUA-ENT 127,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1342,Introduction to Computer Science,CSC 101,Entrepreneurial Studies,100,3,First,2023/2024,LCR2
1343,Introduction to Accounting,ACC 101,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1344,Introduction to Accounting,ACC 101,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1345,Nigerian People and Culture,GST 113,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1346,ENTREPRENEURIAL MARKETING,MKT 229,Entrepreneurial Studies,100,2,First,2023/2024,LCR2
1347,General Mathematics I,MTH 101,Entrepreneurial Studies,100,3,First,2023/2024,LCR2
1348,"Use of Library, Study Skills and ICT",GST 121,Entrepreneurial Studies,100,2,First,2023/2024,LAB1
1349,Introduction to Finance,BAF 101,Entrepreneurial Studies,100,2,First,2023/2024,LAB1
1350,Elements of Government,VUA-PAD 101,Entrepreneurial Studies,100,2,First,2023/2024,LAB1
1351,Ethics I,THG 171,Entrepreneurial Studies,100,1,First,2023/2024,LAB1
1372,Theories of Entrepreneurship,ENT 201,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1373,Entrepreneurial Marketing,MKT 221,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1374,Basic Financial Literacy,ENT 231,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1375,Introduction to Entrepreneurship/Intrapreneurship,ENT 205,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1376,Sociology of Entrepreneurship,ENT 207,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1377,Basic Spiritual Theology,GST 211,Entrepreneurial Studies,200,1,First,2023/2024,LAB1
1378,Peace Studies and Conflict Resolution,GST 221,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1379,Introduction To Entrepreneurial Skills,GST 223,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1380,Sociology of Entrepreneurship,ENT 207,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1381,Introduction to Entrepreneurship/Intrapreneurship,ENT 205,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1382,Theories of Entrepreneurship,ENT 201,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1383,Business Statistics,BUS 201,Entrepreneurial Studies,200,3,First,2023/2024,LAB1
1384,Introduction to Entrepreneurship/Intrapreneurship,ENT 205,Entrepreneurial Studies,200,2,First,2023/2024,LAB1
1385,Basic Spiritual Theology,GST 211,Entrepreneurial Studies,200,1,First,2023/2024,LAB1
1397,Elements of Management,BUS 311,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1398,Human Resources Management,BUS 321,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1399,Small Scale Business Management,BUS 351,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1400,Psychology of Entrepreneurship,ENT 311,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1401,Business Opportunity Scouting and Evaluation,ENT 381,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1402,Entrepreneurship Advanced Skills,GST 311,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1403,Feasibilities Studies and Business Planning,ENT 323,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1404,Consumer Behaviour,MKT 301,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1405,Natural Resource Management,ENT 331,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1406,Events Management,ENT 351,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1407,Elements of Management,BUS 311,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1408,Small Scale Business Management,BUS 351,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1409,Natural Resource Management,ENT 331,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1410,Human Resources Management,BUS 321,Entrepreneurial Studies,300,2,First,2023/2024,LAB1
1422,Business Policy & Strategy I,BUS 401,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1423,E-Business and Entrepreneurship,ENT 421,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1424,Seminar In Entrepreneurship,ENT 431,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1425,Project Management,BUS 471,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1426,Social Entrepreneurship and Community Development,ENT 413,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1427,Technology Entrepreneurship and Intellectual Property Rights,ENT 433,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1428,Rethinking Traditional Occupation,ENT 415,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1429,"Strategic Thinking, Problem Solving and Negotiation Skills",ENT 427,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1430,Entrepreneurship Practicum,ENT 435,Entrepreneurial Studies,400,2,First,2023/2024,LAB1
1439,Elements of Public Administration,PAD 101,Public Administration,100,3,First,2023/2024,LAB1
1440,Elements of Government,VUA-PAD 111,Public Administration,100,2,First,2023/2024,LAB1
1441,Communication In English,GST 111,Public Administration,100,2,First,2023/2024,LAB1
1442,Principles of Management,AMS 101,Public Administration,100,2,First,2023/2024,LAB1
1443,Introduction to Computing,AMS 103,Public Administration,100,2,First,2023/2024,LAB1
1444,Elements of Public Administration,PAD 101,Public Administration,100,3,First,2023/2024,LAB1
1445,Ethics,VUA ETH 171,Public Administration,100,1,First,2023/2024,LAB1
1446,Elements of Government,VUA-PAD 101,Public Administration,100,2,First,2023/2024,LAB1
1447,Teamwork and Teambuilding,VUA-PAD 103,Public Administration,100,2,First,2023/2024,LAB1
1448,Public Communication,VUA-PAD 105,Public Administration,100,2,First,2023/2024,LAB1
1449,Administration of Non-governmental organizations,VUA-PAD 107,Public Administration,100,2,First,2023/2024,LAB1
1450,Introduction to Financial Accounting and Reporting I,ACC 101,Public Administration,100,2,First,2023/2024,LAB1
1451,General Mathematics I,MTH 101,Public Administration,100,2,First,2023/2024,LAB1
1452,Introduction to Political Science,PSD 101,Public Administration,100,2,First,2023/2024,LAB1
1453,Introduction to Political Science,PSD 101,Public Administration,100,2,First,2023/2024,LAB1
1465,Office Organization and Management,PAD 241,Public Administration,200,3,First,2023/2024,LAB1
1466,Entrepreneurship and Innovation,GST 223,Public Administration,200,2,First,2023/2024,LAB1
1467,BASIC SPIRITUAL THEOLOGY,GST 211,Public Administration,200,1,First,2023/2024,LAB1
1468,Statistic for Public Aministration,BUS 201,Public Administration,200,2,First,2023/2024,LAB1
1469,Nigerian Government and Administration I,PAD 211,Public Administration,200,2,First,2023/2024,LAB1
1470,Peace Studies and Conflict Resolution,GST 221,Public Administration,200,2,First,2023/2024,LAB1
1471,Introduction to Microeconomic Theory I,ECO 201,Public Administration,200,2,First,2023/2024,LAB1
1472,Element of Public Administration,PAD 221,Public Administration,200,3,First,2023/2024,LAB1
1473,Introduction to Local Government,PAD 231,Public Administration,200,2,First,2023/2024,LAB1
1474,Element of Business Administration,BUS 241,Public Administration,200,2,First,2023/2024,LAB1
1475,Introductory Micro-Economic Theory I,ECO 201,Public Administration,200,2,First,2023/2024,LAB1
1486,Introduction to Entrepreneurship Studies,GST 311,Public Administration,300,2,First,2023/2024,LAB1
1487,Administrative Theory,PAD 301,Public Administration,300,3,First,2023/2024,LAB1
1488,Administrative Law,LAW 311,Public Administration,300,2,First,2023/2024,LAB1
1489,Public Personnel Administration,PAD 321,Public Administration,300,3,First,2023/2024,LAB1
1490,Comparative Public Administration,PAD 331,Public Administration,300,3,First,2023/2024,LAB1
1491,Public Finance,PAD 341,Public Administration,300,2,First,2023/2024,LAB1
1492,International Relation,PAD 351,Public Administration,300,3,First,2023/2024,LAB1
1493,Traditional Administrative System in Nigeria,PAD 361,Public Administration,300,2,First,2023/2024,LAB1
1494,Nigerian Economy,PAD 371,Public Administration,300,2,First,2023/2024,LAB1
1495,Social and Welfare Policy in Nigeria,PAD 381,Public Administration,300,2,First,2023/2024,LAB1
1496,Human Resource Development and Management,PAD 391,Public Administration,300,2,First,2023/2024,LAB1
1506,Public Enterprises Management,PAD 401,Public Administration,400,3,First,2023/2024,CBT 
1507,Public Policy Making and Analysis,PAD 411,Public Administration,400,3,First,2023/2024,CBT 
1508,Public Financial Administration,PAD 421,Public Administration,400,3,First,2023/2024,CBT 
1509,Government and Administration of Urban System,PAD 431,Public Administration,400,3,First,2023/2024,CBT 
1510,Project Analysis and Management,PAD 441,Public Administration,400,3,First,2023/2024,CBT 
1511,Manpower Planning and Development,PAD 451,Public Administration,400,3,First,2023/2024,CBT 
1512,Communication Skills for Administration,PAD 461,Public Administration,400,3,First,2023/2024,CBT 
1513,Conflict Management,PAD 471,Public Administration,400,2,First,2023/2024,CBT 
1514,Public Finance,BAF 351,Public Administration,400,2,First,2023/2024,CBT 
1515,Public Finance,BAF 351,Public Administration,400,2,First,2023/2024,CBT 
1526,Communication In English,GST 111,Philosophy,100,2,First,2023/2024,CBT 
1527,Introduction to Philosophy,PHL 101,Philosophy,100,2,First,2023/2024,CBT 
1528,Elementary Ethics,PHL 103,Philosophy,100,2,First,2023/2024,CBT 
1529,African Philosophy,PHL 107,Philosophy,100,2,First,2023/2024,CBT 
1530,Philosophy of Emotional Intelligence,VUA-PHL 109,Philosophy,100,2,First,2023/2024,CBT 
1531,Introduction to Humanities,VUA-HUM 111,Philosophy,100,2,First,2023/2024,CBT 
1532,Ethics,VUA-ETH 171,Philosophy,100,1,First,2023/2024,CBT 
1533,Introduction to Social and Political Philosophy,PHL 105,Philosophy,100,2,First,2023/2024,CBT 
1534,Major World Civilizations,HIS 105,Philosophy,100,3,First,2023/2024,CBT 
1544,Basic Spiritual Theology,GST 211,Philosophy,200,1,First,2023/2024,CBT 
1545,Peace Studies and Conflict Resolution,GST 221,Philosophy,200,2,First,2023/2024,CBT 
1546,Introduction To Entrepreneurial Skills,GST 223,Philosophy,200,2,First,2023/2024,CBT 
1547,Introduction to Epistemology,PHL 201,Philosophy,200,2,First,2023/2024,CBT 
1548,Introduction to Metaphysics,PHL 203,Philosophy,200,2,First,2023/2024,CBT 
1549,Arguments and Critical Thinking,PHL 205,Philosophy,200,3,First,2023/2024,CBT 
1550,Medieval Philosophy,PHL 207,Philosophy,200,3,First,2023/2024,CBT 
1551,African Philosophy I,PHL 209,Philosophy,200,2,First,2023/2024,CBT 
1552,Philosophy of Value,PHL 211,Philosophy,200,2,First,2023/2024,CBT 
1553,Philosophical Anthropology,PHL 213,Philosophy,200,2,First,2023/2024,CBT 
1564,Entrepreneurship Advanced Skills,GST 311,Philosophy,300,2,First,2023/2024,MOOT
1565,Early Modern Philosophy,PHL 301,Philosophy,300,3,First,2023/2024,MOOT
1566,Advanced Epistemology,PHL 303,Philosophy,300,3,First,2023/2024,MOOT
1567,Marxist Philosophy,PHL 305,Philosophy,300,3,First,2023/2024,MOOT
1568,Philosophy of Language,PHL 307,Philosophy,300,3,First,2023/2024,MOOT
1569,Oriental Philosophies,PHL 309,Philosophy,300,3,First,2023/2024,MOOT
1570,Philosophy of Social Science,PHL 311,Philosophy,300,3,First,2023/2024,MOOT
1578,Philosophy of Mind,PHL 401,Philosophy,400,3,First,2023/2024,MOOT
1579,Philosophy of History,PHL 403,Philosophy,400,3,First,2023/2024,MOOT
1580,Further Logic,PHL 405,Philosophy,400,3,First,2023/2024,MOOT
1581,Contemporary Philosophy,PHL 407,Philosophy,400,3,First,2023/2024,MOOT
1582,Seminar I,PHL 409,Philosophy,400,2,First,2023/2024,MOOT
1583,Rationalism,PHL 411,Philosophy,400,3,First,2023/2024,MOOT
1590,INTRODUCTION TO COMPUTER,CSC 101,Computer Science,100,3,First,2023/2024,MOOT
1591,Elementary Mathematics I,MTH101,Computer Science,100,2,First,2023/2024,MOOT
1592,General Physics I,PHY101,Computer Science,100,2,First,2023/2024,MOOT
1593,GENERAL PHYSICS PRACTICALS,PHY 107,Computer Science,100,1,First,2023/2024,MOOT
1594,Descriptive Statistics,STA111,Computer Science,100,3,First,2023/2024,MOOT
1595,Communication in English,GST 111,Computer Science,100,2,First,2023/2024,MOOT
1596,Ethics,VUA-ETH 171,Computer Science,100,1,First,2023/2024,MOOT
1597,SYSTEM ANALYSIS AND DESIGN,VUA-CSC 107,Computer Science,100,2,First,2023/2024,MOOT
1598,INTRODUCTION TO SOFTWARE ENGINEERING,VUA-CSC 105,Computer Science,100,2,First,2023/2024,MOOT
1599,INTRODUCTION TO INFORMATION SYSTEMS,VUA-CSC 103,Computer Science,100,2,First,2023/2024,MOOT
1600,Computer Programming I,CSC 105,Computer Science,100,2,First,2023/2024,MOOT
1601,General Chemistry I,CHM 101,Computer Science,100,2,First,2023/2024,MOOT
1602,"USE OF LIBRARY, STUDY SKILL AND ICT",GST 121,Computer Science,100,2,First,2023/2024,MOOT
1603,Nigerian People and Culture,GST 113,Computer Science,100,2,First,2023/2024,MOOT
1604,History and Philosophy Of Science,GST 115,Computer Science,100,2,First,2023/2024,MOOT
1605,Experimental Physics I,PHY 107,Computer Science,100,1,First,2023/2024,MOOT
1606,Experimental Physics,PHY 107,Computer Science,100,1,First,2023/2024,MOOT
1628,FOUNDATION OF SEQUENTIAL PROGRAM,CSC 201,Computer Science,200,2,First,2023/2024,MOOT
1629,Operating Systems I,CSC 203,Computer Science,200,2,First,2023/2024,MOOT
1630,NATURAL LANGUAGE PROCESSING I,CSC 205,Computer Science,200,2,First,2023/2024,MOOT
